Time,Temp,DSC
0.00,27.13,0.48
1.00,27.13,0.48
2.00,27.13,0.48
3.00,27.12,0.48
4.00,27.13,0.48
5.00,27.16,0.48
6.00,27.27,0.49
7.00,27.47,0.50
8.00,27.74,0.52
9.00,28.05,0.55
10.00,28.39,0.59
11.00,28.72,0.64
12.00,29.06,0.69
13.00,29.41,0.72
14.00,29.74,0.74
15.00,30.08,0.72
16.00,30.42,0.68
17.00,30.76,0.62
18.00,31.09,0.56
19.00,31.43,0.49
20.00,31.76,0.41
21.00,32.10,0.34
22.00,32.43,0.27
23.00,32.77,0.21
24.00,33.10,0.16
25.00,33.44,0.10
26.00,33.77,0.06
27.00,34.11,0.02
28.00,34.44,-0.02
29.00,34.78,-0.05
30.00,35.11,-0.07
31.00,35.45,-0.09
32.00,35.79,-0.11
33.00,36.12,-0.13
34.00,36.46,-0.14
35.00,36.79,-0.15
36.00,37.13,-0.16
37.00,37.47,-0.17
38.00,37.81,-0.18
39.00,38.14,-0.19
40.00,38.48,-0.19
41.00,38.82,-0.20
42.00,39.16,-0.20
43.00,39.50,-0.20
44.00,39.84,-0.21
45.00,40.17,-0.21
46.00,40.51,-0.21
47.00,40.85,-0.21
48.00,41.19,-0.21
49.00,41.52,-0.22
50.00,41.86,-0.22
51.00,42.20,-0.22
52.00,42.54,-0.22
53.00,42.87,-0.22
54.00,43.21,-0.22
55.00,43.55,-0.23
56.00,43.88,-0.23
57.00,44.22,-0.23
58.00,44.55,-0.23
59.00,44.89,-0.23
60.00,45.23,-0.23
61.00,45.56,-0.23
62.00,45.90,-0.23
63.00,46.23,-0.23
64.00,46.57,-0.23
65.00,46.91,-0.23
66.00,47.25,-0.23
67.00,47.59,-0.23
68.00,47.92,-0.23
69.00,48.27,-0.23
70.00,48.60,-0.23
71.00,48.94,-0.23
72.00,49.28,-0.23
73.00,49.62,-0.24
74.00,49.96,-0.24
75.00,50.30,-0.24
76.00,50.63,-0.24
77.00,50.97,-0.24
78.00,51.31,-0.24
79.00,51.64,-0.24
80.00,51.98,-0.24
81.00,52.32,-0.24
82.00,52.65,-0.24
83.00,52.99,-0.24
84.00,53.33,-0.24
85.00,53.67,-0.24
86.00,54.00,-0.25
87.00,54.34,-0.25
88.00,54.67,-0.25
89.00,55.01,-0.25
90.00,55.35,-0.25
91.00,55.69,-0.25
92.00,56.02,-0.25
93.00,56.36,-0.25
94.00,56.70,-0.25
95.00,57.04,-0.25
96.00,57.37,-0.25
97.00,57.71,-0.25
98.00,58.04,-0.25
99.00,58.38,-0.25
100.00,58.72,-0.25
101.00,59.05,-0.26
102.00,59.39,-0.26
103.00,59.73,-0.26
104.00,60.06,-0.26
105.00,60.40,-0.26
106.00,60.74,-0.26
107.00,61.08,-0.26
108.00,61.41,-0.26
109.00,61.75,-0.26
110.00,62.08,-0.26
111.00,62.42,-0.26
112.00,62.76,-0.26
113.00,63.09,-0.26
114.00,63.43,-0.26
115.00,63.76,-0.26
116.00,64.10,-0.27
117.00,64.44,-0.27
118.00,64.78,-0.27
119.00,65.11,-0.27
120.00,65.45,-0.27
121.00,65.78,-0.27
122.00,66.12,-0.27
123.00,66.46,-0.27
124.00,66.79,-0.27
